type,sourceName,sourceVersion,productType,device,Date,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKAverageMETs,HKIndoorWorkout,HKWeatherHumidity,HKWeatherTemperature,HKTimeZone
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-20 21:26:55 +0000,2021-10-20 22:42:31 +0000,TraditionalStrengthTraining,4536.594711065292,sec,476.894 kcal,,,,3.69327 kcal/hr·kg,0,7300 %,55.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-22 02:49:37 +0000,2021-10-22 04:16:01 +0000,TraditionalStrengthTraining,5183.981493115425,sec,947.453 kcal,,,,7.05094 kcal/hr·kg,0,6700 %,55.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-22 22:24:03 +0000,2021-10-22 23:34:42 +0000,TraditionalStrengthTraining,4238.725656986237,sec,698.636 kcal,,,,6.51486 kcal/hr·kg,0,8900 %,51.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-26 01:33:31 +0000,2021-10-26 02:42:24 +0000,TraditionalStrengthTraining,4133.432533025742,sec,753.041 kcal,,,,6.9945 kcal/hr·kg,0,5400 %,51.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-26 18:15:41 +0000,2021-10-26 19:25:38 +0000,TraditionalStrengthTraining,4196.612825036049,sec,668.65 kcal,,,,6.37435 kcal/hr·kg,0,6300 %,50 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-29 22:01:30 +0000,2021-10-29 22:36:19 +0000,TraditionalStrengthTraining,2088.58839905262,sec,215.982 kcal,,,,3.26083 kcal/hr·kg,0,6900 %,53.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-01 00:20:13 +0000,2021-11-01 01:25:57 +0000,TraditionalStrengthTraining,3943.468649983406,sec,420.981 kcal,,,,3.702 kcal/hr·kg,0,3300 %,48.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-01 22:38:16 +0000,2021-11-02 00:09:26 +0000,TraditionalStrengthTraining,5469.597363948822,sec,575.094 kcal,,,,3.60949 kcal/hr·kg,0,3500 %,53.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-02 18:39:37 +0000,2021-11-02 19:50:42 +0000,TraditionalStrengthTraining,4265.75971698761,sec,922.042 kcal,,,,8.78429 kcal/hr·kg,0,7100 %,46.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-05 00:25:59 +0000,2021-11-05 01:40:42 +0000,TraditionalStrengthTraining,4483.290318012238,sec,928.412 kcal,,,,8.65581 kcal/hr·kg,0,7200 %,55.4 degF,America/Los_Angeles
